invno,invdate,amount,tbl_customer_idtbl_customer,customer,,,,,,,,,
5640,12/15/2023,77625,89,REGAL HARDWARE - MAWANALLA ,,,,,,,,,
4663,5/31/2023,110167.5,73,FASHION LIGHT,,,,,,,,,
4926,7/25/2023,26010,67,CITY LIGHT ELECTRICAL -THIHARIYA ,,,,,,,,,
5137,9/5/2023,106897.5,73,FASHION LIGHT,,,,,,,,,
4937,7/26/2023,54000,67,CITY LIGHT ELECTRICAL -THIHARIYA ,,,,,,,,,
5201,9/18/2023,113850,73,FASHION LIGHT,,,,,,,,,
5097,8/28/2023,32100,67,CITY LIGHT ELECTRICAL -THIHARIYA ,,,,,,,,,
5400,10/23/2023,175035,67,CITY LIGHT ELECTRICAL -THIHARIYA ,,,,,,,,,
5454,10/31/2023,103650,73,FASHION LIGHT,,,,,,,,,
5520,11/16/2023,75075,67,CITY LIGHT ELECTRICAL -THIHARIYA ,,,,,,,,,
5609,12/7/2023,67425,73,FASHION LIGHT,,,,,,,,,
5684,12/22/2023,102255,73,FASHION LIGHT,,,,,,,,,
5632,12/14/2023,47812.5,67,CITY LIGHT ELECTRICAL -THIHARIYA ,,,,,,,,,
4547,4/10/2023,17475,78,MAHELA ELECTRICALS,,,,,,,,,
4726,6/16/2023,41940,81,NEW LAKMAL ELECTRICALS,,,,,,,,,
4682,6/2/2023,21675,78,MAHELA ELECTRICALS,,,,,,,,,
5698,12/27/2023,20925,81,NEW LAKMAL ELECTRICALS,,,,,,,,,
4762,6/23/2023,13005,78,MAHELA ELECTRICALS,,,,,,,,,
4572,4/27/2023,106950,61,ASIAN ELECTRICALS ,,,,,,,,,
4876,7/17/2023,108450,61,ASIAN ELECTRICALS ,,,,,,,,,
5024,8/14/2023,14197.5,78,MAHELA ELECTRICALS,,,,,,,,,
5346,10/11/2023,71025,61,ASIAN ELECTRICALS ,,,,,,,,,
5373,10/17/2023,45105,78,MAHELA ELECTRICALS,,,,,,,,,
5363,10/16/2023,83100,61,ASIAN ELECTRICALS ,,,,,,,,,
5526,11/20/2023,21720,78,MAHELA ELECTRICALS,,,,,,,,,
5534,11/20/2023,24705,61,ASIAN ELECTRICALS ,,,,,,,,,
5323,10/9/2023,25290,79,N.S. HARDWARE  & PLYWOOD ,,,,,,,,,
5345,10/11/2023,55170,79,N.S. HARDWARE  & PLYWOOD ,,,,,,,,,
4986,8/7/2023,33000,102,UNITED GLASS HOUSE & HARDWARE,,,,,,,,,
5319,10/9/2023,81105,82,NEW MAHAJANA STORES,,,,,,,,,
4633,5/19/2023,185775,83,NEW CENTRAL HARDWARE,,,,,,,,,
4063,10/27/2022,337537.5,342,FUJI ELECTRICALS ,,,,,,,,,
4647,5/25/2023,9015,83,NEW CENTRAL HARDWARE,,,,,,,,,
4676,6/1/2023,102750,83,NEW CENTRAL HARDWARE,,,,,,,,,
4070,11/1/2022,37800,342,FUJI ELECTRICALS ,,,,,,,,,
5013,11/8/2023,59760,83,NEW CENTRAL HARDWARE,,,,,,,,,
4603,5/9/2023,83700,342,FUJI ELECTRICALS ,,,,,,,,,
5171,9/13/2023,99000,83,NEW CENTRAL HARDWARE,,,,,,,,,
5242,9/26/2023,145125,83,NEW CENTRAL HARDWARE,,,,,,,,,
4686,6/5/2023,78900,342,FUJI ELECTRICALS ,,,,,,,,,
5574,11/30/2023,218925,83,NEW CENTRAL HARDWARE,,,,,,,,,
5231,9/25/2023,144547.5,342,FUJI ELECTRICALS ,,,,,,,,,
5352,10/12/2023,67050,342,FUJI ELECTRICALS ,,,,,,,,,
4134,11/23/2022,145132.5,353,LUCKY HARDWARE ,,,,,,,,,
5436,10/30/2023,211050,342,FUJI ELECTRICALS ,,,,,,,,,
4550,4/20/2023,103657.5,353,LUCKY HARDWARE ,,,,,,,,,
5701,12/28/2023,161617.5,353,LUCKY HARDWARE ,,,,,,,,,
5438,10/30/2023,13410,342,FUJI ELECTRICALS ,,,,,,,,,
5702,12/28/2023,155137.5,353,LUCKY HARDWARE ,,,,,,,,,
5680,12/22/2023,223935,342,FUJI ELECTRICALS ,,,,,,,,,
4262,10/1/2023,208807.5,366,LISHAN CYCLE PALACE,,,,,,,,,
4565,4/26/2023,141795,366,LISHAN CYCLE PALACE,,,,,,,,,
